variant,run,case,frame_id,mode,reference_id,encode_ms,wire_bytes,detail_bytes,decoded_raw_bytes,decoded_raw_fnv1a64,wire_fnv1a64
baseline,run1,scene_b_motion,408,independent,0,6.4181,139570,136895,722128,4b25f0c55c95baf5,cdc4cafa7362f127
baseline,run1,scene_b_motion,409,motion,408,9.6346,118554,115879,722128,501e12b5db1beccb,fb8fb0f88d09b785
baseline,run1,scene_b_motion,410,motion,409,9.8333,118255,115580,722128,510ef6d472eb75e6,8a37c13936e06985
baseline,run1,scene_b_motion,411,motion,410,9.5384,117997,115322,722128,3638496c1e09f35c,004782dad55e3482
baseline,run1,scene_b_motion,412,motion,411,9.7724,117667,114992,722128,998ad3ac0acfe1e3,3ba14ff545735ffa
baseline,run1,scene_b_motion,413,motion,412,9.8122,117559,114884,722128,a166e15f4f15cd60,d5548d25883c81c9
baseline,run1,scene_b_motion,414,motion,413,9.7638,116912,114237,722128,76c532524c302baa,8ba4b13ce67b9ea1
baseline,run1,scene_b_motion,415,motion,414,9.6999,116706,114031,722128,cfdf2aa11e21078a,2a47da80a78d3293
baseline,run1,scene_b_motion,416,independent,0,6.9635,137065,134390,722128,6ee2fcad6eca2c8b,8ceba6dbd5bcf2ee
baseline,run1,scene_b_motion,417,motion,416,9.6455,116321,113646,722128,2fea8c576d326550,19bd7f2587c8c970
baseline,run1,scene_b_motion,418,motion,417,9.6410,116097,113422,722128,03c24d36355ce265,bc5ab71eddc2c9c3
baseline,run1,scene_b_motion,419,motion,418,9.6588,115631,112956,722128,30a4b62803c6770b,170e0a3cc982bba5
baseline,run1,scene_b_motion,420,motion,419,9.7559,115629,112954,722128,d9b0d4392f82b3fe,9d75ffc8c1a00c7b
baseline,run1,scene_b_motion,421,motion,420,10.4209,115210,112535,722128,cb3d3fbec0e02244,183c118116527408
baseline,run1,scene_b_motion,422,motion,421,9.6232,115387,112712,722128,546a6806559d0905,c529ab4e07920cfc
baseline,run1,scene_b_motion,423,motion,422,9.7920,114985,112310,722128,4c3d57cfb87b8dd7,23631e7641874d93
baseline,run1,scene_b_motion,424,independent,0,6.3507,136011,133336,722128,4568d429357d1fd9,96ff55dd9a072835
baseline,run1,scene_b_motion,425,motion,424,9.5825,115021,112346,722128,1a64ced8f4164ff1,c087efefa3af0a0a
baseline,run1,scene_b_motion,426,motion,425,9.6636,114411,111736,722128,6ae4d3344ed2bb22,404056202a3242ca
baseline,run1,scene_b_motion,427,motion,426,9.5676,114548,111873,722128,fbbd5d4d229fbbb2,14fee9efd2ef2db1
baseline,run1,scene_b_motion,428,motion,427,9.6399,113804,111129,722128,8f171ea4316d0d31,39a469771f162bc6
baseline,run1,scene_b_motion,429,motion,428,9.5884,113907,111232,722128,b3ca5aabafca62c3,db218d4c5878b37f
baseline,run1,scene_a_to_b_cut_then_static,806,motion,805,7.2586,4064,1389,722128,98582ddcde0c60e2,dd352862115ae46d
baseline,run1,scene_a_to_b_cut_then_static,807,motion,806,7.4609,4064,1389,722128,98582ddcde0c60e2,023cd67074e9d0bc
baseline,run1,scene_a_to_b_cut_then_static,808,independent,0,6.8978,141562,138887,722128,98582ddcde0c60e2,8eac849217615cdc
baseline,run1,scene_a_to_b_cut_then_static,809,motion,808,4.9281,4064,1389,722128,98582ddcde0c60e2,c805feb560872f3a
baseline,run1,scene_a_to_b_cut_then_static,810,motion,809,7.3137,4064,1389,722128,98582ddcde0c60e2,287ff0d4ac461d81
baseline,run1,scene_a_to_b_cut_then_static,811,motion,810,7.4132,4064,1389,722128,98582ddcde0c60e2,9cfe478ad2e46e50
baseline,run1,scene_a_to_b_cut_then_static,812,motion,811,7.6500,4064,1389,722128,98582ddcde0c60e2,38c6ea2e5b363657
baseline,run1,scene_a_to_b_cut_then_static,813,motion,812,7.2526,4064,1389,722128,98582ddcde0c60e2,38f7a1dee3e5e28e
baseline,run1,scene_a_to_b_cut_then_static,814,motion,813,7.4410,4064,1389,722128,98582ddcde0c60e2,3e21fe67f348e3d5
baseline,run1,scene_a_to_b_cut_then_static,815,motion,814,8.0185,4064,1389,722128,98582ddcde0c60e2,a097328f1215cfa4
baseline,run1,scene_a_to_b_cut_then_static,816,independent,0,6.5811,141562,138887,722128,98582ddcde0c60e2,8eac849217615cdc
baseline,run1,scene_a_to_b_cut_then_static,817,motion,816,5.0622,4064,1389,722128,98582ddcde0c60e2,c6b6beee2246e5e2
baseline,run1,scene_a_to_b_cut_then_static,818,motion,817,7.7228,4064,1389,722128,98582ddcde0c60e2,5b8dce3d0eef6ae9
baseline,run1,scene_a_to_b_cut_then_static,819,motion,818,7.4993,4064,1389,722128,98582ddcde0c60e2,d564c28b3650c878
baseline,run1,scene_a_to_b_cut_then_static,820,motion,819,7.6574,4064,1389,722128,98582ddcde0c60e2,85004bb5b42eb87f
baseline,run1,scene_a_to_b_cut_then_static,821,motion,820,7.3811,4064,1389,722128,98582ddcde0c60e2,a2b639a6328c6cb6
baseline,run1,scene_a_to_b_cut_then_static,822,motion,821,7.2925,4064,1389,722128,98582ddcde0c60e2,f7ac222e5a36e37d
baseline,run1,scene_a_to_b_cut_then_static,823,motion,822,7.2958,4064,1389,722128,98582ddcde0c60e2,e67bb99c24d6f88c
baseline,run1,scene_a_to_b_cut_then_static,824,independent,0,6.4641,141562,138887,722128,98582ddcde0c60e2,8eac849217615cdc
baseline,run1,scene_a_to_b_cut_then_static,825,motion,824,4.5750,4064,1389,722128,98582ddcde0c60e2,cf7fcf08b42d3d0a
baseline,run1,scene_a_to_b_cut_then_static,826,motion,825,7.3294,4064,1389,722128,98582ddcde0c60e2,0fa491a20adbc691
baseline,run1,scene_a_to_b_cut_then_static,827,motion,826,7.4102,4064,1389,722128,98582ddcde0c60e2,59c253575563eb20
baseline,run1,scene_a_to_b_cut_then_static,828,motion,827,7.8103,4064,1389,722128,98582ddcde0c60e2,061053e64d3cada7
baseline,run1,scene_a_to_b_cut_then_static,829,motion,828,7.4335,4064,1389,722128,98582ddcde0c60e2,03965fc7f89e22de
baseline,run2,scene_a_motion,206,motion,205,8.4933,68796,66121,722128,cb4936b83fc54820,e1c90954ce4492bd
baseline,run2,scene_a_motion,207,motion,206,8.5318,68782,66107,722128,bbdf2f71a384be64,43274cc5dd2c2712
baseline,run2,scene_a_motion,208,independent,0,6.2920,111931,109256,722128,b518c6fec7367c52,e5cb2b454808b137
baseline,run2,scene_a_motion,209,motion,208,8.3626,68832,66157,722128,ed0cedb14d52229b,5b5986b152500f99
baseline,run2,scene_a_motion,210,motion,209,8.3178,69008,66333,722128,91631cae452a6392,520d2f6665115aed
baseline,run2,scene_a_motion,211,motion,210,8.4359,69277,66602,722128,bd77593c5cc518e1,1f28ad6da87fe846
baseline,run2,scene_a_motion,212,motion,211,8.4656,69070,66395,722128,83092df7ffed8818,74457c849d72d29b
baseline,run2,scene_a_motion,213,motion,212,8.8457,69246,66571,722128,f742cf7e2e870c52,59667e1e6f77fd4e
baseline,run2,scene_a_motion,214,motion,213,8.4302,69287,66612,722128,3a211f651c2c6fe9,f0e56ed2efe7fe06
baseline,run2,scene_a_motion,215,motion,214,8.6346,69322,66647,722128,c00fcdc050f3c73d,a322da5173e30889
baseline,run2,scene_a_motion,216,independent,0,6.3576,110442,107767,722128,b770bd20e5730045,75d7fea320f408c5
baseline,run2,scene_a_motion,217,motion,216,8.4512,68576,65901,722128,5103c37306df0ec6,759db098d0b3beb0
baseline,run2,scene_a_motion,218,motion,217,8.5461,68856,66181,722128,87abc823a6071aa3,f141193250b7f752
baseline,run2,scene_a_motion,219,motion,218,8.8534,68541,65866,722128,18b3c37933e0e666,ca77c3c00752695c
