seconds,budget_mbps,equivalent_capacity_mbps,lost_frames,queue_ms
0.000,1000.000000,1000,0,11.1111
0.100,1000.000000,1000,0,11.1114
0.200,1000.000000,1000,0,11.1116
0.300,1000.000000,1000,0,11.1118
0.400,1000.000000,1000,0,11.1120
0.500,1000.000000,1000,0,11.1123
0.600,1000.000000,1000,0,11.1125
0.700,1000.000000,1000,0,11.1127
0.800,1000.000000,1000,0,11.1129
0.900,1000.000000,1000,0,11.1132
1.000,1000.000000,1000,0,11.1134
1.100,1000.000000,1000,0,11.1136
1.200,1000.000000,1000,0,11.1138
1.300,1000.000000,1000,0,11.1140
1.400,1000.000000,1000,0,11.1143
1.500,1000.000000,1000,0,11.1145
1.600,1000.000000,1000,0,11.1147
1.700,1000.000000,1000,0,11.1149
1.800,1000.000000,1000,0,11.1152
1.900,1000.000000,1000,0,11.1154
2.000,1000.000000,1000,0,11.1156
2.100,1000.000000,1000,0,11.1158
2.200,1000.000000,1000,0,11.1161
2.300,1000.000000,1000,0,11.1163
2.400,1000.000000,1000,0,11.1165
2.500,1000.000000,1000,0,11.1167
2.600,1000.000000,1000,0,11.1170
2.700,1000.000000,1000,0,11.1172
2.800,1000.000000,1000,0,11.1174
2.900,1000.000000,1000,0,11.1176
3.000,1000.000000,1000,0,11.1179
3.100,1000.000000,1000,0,11.1181
3.200,1000.000000,1000,0,11.1183
3.300,1000.000000,1000,0,11.1185
3.400,1000.000000,1000,0,11.1188
3.500,1000.000000,1000,0,11.1190
3.600,1000.000000,1000,0,11.1192
3.700,1000.000000,1000,0,11.1194
3.800,1000.000000,1000,0,11.1196
3.900,1000.000000,1000,0,11.1199
4.000,1000.000000,1000,0,11.1201
4.100,1000.000000,1000,0,11.1203
4.200,1000.000000,1000,0,11.1205
4.300,1000.000000,1000,0,11.1208
4.400,1000.000000,1000,0,11.1210
4.500,1000.000000,1000,0,11.1212
4.600,1000.000000,1000,0,11.1214
4.700,1000.000000,1000,0,11.1217
4.800,1000.000000,1000,0,11.1219
4.900,1000.000000,1000,0,11.1221
5.000,1000.000000,1000,0,11.1223
5.100,1000.000000,1000,0,11.1226
5.200,1000.000000,1000,0,11.1228
5.300,1000.000000,1000,0,11.1230
5.400,1000.000000,1000,0,11.1232
5.500,1000.000000,1000,0,11.1235
5.600,1000.000000,1000,0,11.1237
5.700,1000.000000,1000,0,11.1239
5.800,1000.000000,1000,0,11.1241
5.900,1000.000000,1000,0,11.1244
6.000,1000.000000,1000,0,11.1246
6.100,1000.000000,1000,0,11.1248
6.200,1000.000000,1000,0,11.1250
6.300,1000.000000,1000,0,11.1252
